"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.172375005E-3,7.677006070E-3,-5.556269549E-3,-4.142177291E-3
2.821637500E-2,-2.714280598E-2,-6.829533260E-3,6.669678260E-3
4.826037500E-2,-2.860165201E-2,-5.421950016E-3,3.386142198E-3
6.830537500E-2,-1.209215913E-2,2.281315159E-3,-4.682894796E-3
8.834937500E-2,-6.528954487E-3,8.721085265E-3,-1.071375981E-2
1.083933750E-1,1.273058541E-2,1.459310204E-2,-8.663034998E-3
1.284373750E-1,2.224143362E-3,2.028166316E-2,-5.060262512E-3
1.484813750E-1,-9.113153443E-3,1.460993662E-2,-4.731884692E-4
1.685253750E-1,-1.617274247E-2,2.890114672E-2,-4.867590964E-3
1.885703750E-1,-4.677288234E-3,2.055708691E-2,-1.078931801E-2
2.086143750E-1,-1.107869297E-2,3.756972775E-2,-2.104048245E-2
2.286583750E-1,-5.941124633E-3,9.448466450E-2,-2.672573365E-2
2.487023750E-1,-5.830099434E-2,8.134853095E-2,-2.682356536E-2
2.687463750E-1,-8.650169522E-2,7.754638791E-2,-4.700197652E-2
2.887903750E-1,-1.873550192E-2,5.155337043E-3,-1.757559776E-1
3.088343750E-1,-8.543574810E-2,1.958224773E-1,-6.028186679E-1
3.288793750E-1,-1.349005401E-1,1.525607556E-1,-8.672309518E-1
3.489233750E-1,-6.383184344E-2,3.015655875E-1,-1.039910555E0
3.689673750E-1,6.882955134E-2,4.015615582E-2,-1.253640056E0
3.890113750E-1,7.011366636E-2,-1.294364631E-1,-1.530842066E0
4.090553750E-1,5.392656848E-2,-3.025037609E-2,-1.915701866E0
4.290993750E-1,2.668068707E-1,-1.705528945E-1,-2.057943344E0
4.491444583E-1,4.794922471E-1,-3.727501035E-1,-2.171690702E0
4.691884583E-1,4.094932079E-1,-3.808848560E-1,-2.340964079E0
4.892324583E-1,5.339987874E-1,-8.501206040E-1,-2.320831060E0
5.092764583E-1,4.927052557E-1,-8.275725842E-1,-2.392665148E0
5.293204583E-1,4.699170887E-1,3.266986310E-1,-2.330006599E0
5.493644583E-1,7.964444160E-1,1.658319235E0,-5.525244474E-1
5.694084583E-1,6.572355628E-1,1.110678911E0,-5.632699132E-1
5.894534583E-1,1.886838973E-1,5.954596400E-1,-7.020670772E-1
6.094974583E-1,-7.307669520E-2,2.060316205E-1,-8.094428480E-2
6.295414583E-1,7.084682584E-2,6.730213016E-2,1.711310446E-2
6.495854583E-1,1.264650561E-2,1.414744928E-2,-1.619395427E-2
6.696294583E-1,7.243715227E-3,2.377014421E-2,-9.597444907E-3
6.896734583E-1,2.717769146E-2,7.555668801E-2,7.032666821E-3
7.097184583E-1,1.141528506E-2,3.478023410E-2,-2.790623344E-3
7.297624583E-1,2.541076392E-2,-9.245444089E-3,-1.359465905E-2
7.498064583E-1,4.123736918E-2,-4.355232697E-3,-1.565879956E-2
7.698504583E-1,2.834994905E-2,2.739236131E-2,-1.806103252E-2
7.898944583E-1,1.324608177E-2,-4.822154064E-3,-1.612237468E-2
8.099384583E-1,2.487414144E-2,-5.416050181E-2,-1.798439585E-2
8.299834583E-1,2.142211422E-2,-6.793814898E-2,-2.195339836E-2
8.500274583E-1,2.048730850E-2,-3.915188462E-2,-2.066057548E-2
8.700714583E-1,2.833971381E-2,-2.594404481E-2,-2.756165713E-2
8.901154583E-1,2.793570049E-2,-5.155237019E-2,-3.114111535E-2
9.101594583E-1,3.602590412E-2,-7.978644967E-2,-3.518139943E-2
9.302034583E-1,4.647187516E-2,-8.498830348E-2,-3.910520300E-2
9.502474583E-1,5.764692277E-2,-9.135484695E-2,-4.780373350E-2
9.702924583E-1,7.887156308E-2,-7.242590189E-2,-5.357901752E-2
9.903364583E-1,9.147626162E-2,-4.028900713E-2,-5.474233255E-2
1.010380458E0,9.788595140E-2,-1.380302198E-2,-5.153184012E-2
1.030424458E0,9.770305455E-2,1.281712763E-2,-4.021148011E-2
1.050468458E0,9.205088019E-2,3.675405309E-2,-2.985975705E-2
1.070512458E0,8.845855296E-2,4.593444988E-2,-2.764059417E-2
1.090557458E0,9.754504263E-2,6.591019779E-2,-2.873467095E-2
1.110601458E0,1.239272207E-1,1.074638143E-1,-3.035478108E-2
1.130645458E0,1.447250545E-1,1.566663533E-1,-3.324832022E-2
1.150689458E0,1.360311806E-1,1.880627871E-1,-3.006833233E-2
1.170733458E0,1.034141406E-1,1.850543618E-1,-2.164509706E-2
1.190777458E0,8.577462286E-2,1.687356830E-1,-4.274864681E-3
1.210822458E0,9.891267121E-2,1.903119236E-1,1.485271612E-3
1.230866458E0,1.086078882E-1,2.221820354E-1,1.646687859E-3
1.250910458E0,1.090971455E-1,2.581593096E-1,3.870302811E-3
1.270954458E0,9.698159248E-2,2.712012529E-1,-2.098515630E-3
1.290998458E0,1.064931154E-1,2.393906415E-1,-7.862567902E-3
1.311042458E0,9.890342504E-2,2.266559601E-1,-1.042814460E-2
1.331087458E0,8.362676948E-2,2.268259972E-1,-7.967242040E-3
1.351131458E0,7.890206575E-2,1.998846084E-1,-5.723044276E-3
1.371175458E0,6.948369741E-2,1.589940786E-1,-1.132547576E-2
1.391219458E0,5.507038906E-2,1.473127455E-1,-1.782136224E-2
1.411263458E0,4.728616029E-2,1.413343102E-1,-2.261901647E-2
1.431307458E0,4.480701685E-2,1.494314373E-1,-2.940336987E-2
1.451351500E0,3.114244342E-2,1.118811816E-1,-3.079817817E-2
1.471396500E0,1.385733485E-2,6.559280306E-2,-2.475133166E-2
1.491440500E0,3.412625752E-3,4.623916745E-2,-2.492731810E-2
1.511484500E0,9.925527265E-4,5.786595494E-2,-2.237398922E-2
1.531528500E0,-1.003541239E-2,2.815002948E-2,-2.066442929E-2
1.551572500E0,-2.392823808E-2,7.120437920E-3,-3.330525011E-2
1.571616500E0,-1.556085795E-2,6.219006609E-3,-4.058202356E-2
1.591661500E0,1.214618422E-2,1.355682127E-2,-4.617089033E-2
1.611705500E0,4.016434774E-2,2.720818296E-2,-3.965801373E-2
1.631749500E0,6.882272661E-2,5.379083753E-2,-3.652624786E-2
1.651793500E0,6.795302033E-2,2.781287394E-2,-3.624696285E-2
1.671837500E0,2.979885414E-2,2.062297240E-2,-4.434964433E-2
1.691881500E0,-2.049801871E-3,1.368114259E-3,-6.281399727E-2
1.711925500E0,-7.389721274E-2,-1.415002439E-2,-9.180624783E-2
1.731970500E0,-1.667704582E-1,-6.309001893E-2,-8.047362417E-2
1.752014500E0,-2.870568633E-1,-1.075443812E-2,-2.915316075E-2
1.772058500E0,-4.708667994E-1,2.026824206E-1,3.755988553E-2
1.792102500E0,-5.040655732E-1,1.519757956E-1,4.085379094E-2
1.812146500E0,-3.503241539E-1,3.066167533E-1,-2.681387216E-2
1.832190500E0,-4.052373171E-1,6.683424711E-1,-2.690634504E-2
1.852234500E0,-3.646814227E-1,7.067252398E-1,-8.838449419E-2
1.872279500E0,-2.563725710E-1,4.918214381E-1,-9.294335544E-2
1.892323500E0,-2.401322573E-1,3.850295842E-1,-6.989535689E-2
1.912367500E0,2.705611102E-2,-4.874677211E-2,-6.944509596E-2
1.932411500E0,3.386275768E-1,-3.357581049E-2,-4.313839227E-2
1.952455500E0,5.877264738E-1,2.128599025E-2,8.184469771E-4
1.972499500E0,6.546215415E-1,-1.452464759E-1,2.043687366E-2
1.992544500E0,5.698184967E-1,-9.153067321E-2,-3.998622671E-2
2.012588500E0,4.115093350E-1,1.498443484E-1,-1.399652213E-1
2.032632500E0,1.891131103E-1,-7.800249383E-3,-2.207083106E-1
2.052676500E0,7.657793164E-2,-4.099857807E-1,-1.429318488E-1
2.072720500E0,1.298012137E-1,-5.221970677E-1,-6.118698046E-2
2.092764500E0,2.413446158E-1,-4.406472147E-1,-3.978001699E-2
2.112808500E0,3.508032262E-1,-3.091046214E-1,-4.830874503E-2
2.132853500E0,3.890170157E-1,-1.932503581E-1,-7.355612516E-2
2.152897500E0,2.989749908E-1,-1.386415064E-1,-8.893410861E-2
2.172941500E0,1.305925101E-1,-2.196417600E-1,-7.929699123E-2
