"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-2.682499980E-4,6.686295776E0,6.644532623E0,1.542093201E0
1.977375000E-2,6.770271149E0,6.897955627E0,1.486558685E0
3.981475000E-2,6.913822632E0,6.945107574E0,1.682800598E0
5.985675000E-2,6.917864227E0,7.082072754E0,1.882934418E0
7.989775000E-2,6.766828308E0,6.989265747E0,1.736089783E0
9.993975000E-2,6.761439514E0,6.906188507E0,1.605411530E0
1.199807500E-1,6.702462158E0,6.788682861E0,1.618434448E0
1.400227500E-1,6.708599396E0,6.863976288E0,1.772015076E0
1.600637500E-1,6.810088348E0,7.023544464E0,1.796863403E0
1.801057500E-1,6.726262665E0,6.958729248E0,1.671424255E0
2.001467500E-1,6.717880096E0,6.869963837E0,1.595831451E0
2.201887500E-1,6.973548431E0,7.216942291E0,1.912423096E0
2.402297500E-1,6.889872437E0,6.906787262E0,1.808539124E0
2.602717500E-1,6.720724182E0,6.728358307E0,1.813778229E0
2.803127500E-1,6.801855469E0,6.761140137E0,1.958377533E0
3.003547500E-1,6.879244537E0,6.685697021E0,1.921404419E0
3.203957500E-1,6.580316162E0,6.560257874E0,1.878892822E0
3.404377500E-1,6.806346130E0,7.023394775E0,1.224304047E0
3.604787500E-1,6.971153412E0,7.200476532E0,1.391955414E0
3.805207500E-1,6.973698120E0,7.089108124E0,1.964664459E0
4.005617500E-1,6.594237213E0,6.813082123E0,1.033001862E0
4.206037500E-1,6.210585022E0,7.048093414E0,7.454498291E-1
4.406457500E-1,4.578079834E0,4.974156189E0,4.462220764E-1
4.606867500E-1,4.530179443E0,4.184847565E0,4.819976807E-2
4.807287500E-1,4.422403564E0,4.317172394E0,7.189549255E-1
5.007697500E-1,4.455185394E0,4.414619751E0,1.680106201E0
5.208117500E-1,5.504503326E0,4.610113220E0,1.681154022E0
5.408527500E-1,1.712798218E1,7.600145416E0,3.361559601E0
5.608947500E-1,1.460991852E1,7.987390137E0,1.501527557E0
5.809357500E-1,1.191656937E1,7.047195282E0,2.960693207E0
6.009782083E-1,9.508826294E0,5.830824738E0,1.889371033E0
6.210192083E-1,1.114791779E1,2.588267670E0,2.348466339E0
6.410612083E-1,1.169098846E1,1.934577026E0,1.515897675E0
6.611022083E-1,8.848549347E0,3.483855286E0,7.200027466E-2
6.811442083E-1,7.102879486E0,4.076472931E0,4.522096252E-1
7.011852083E-1,4.509672089E0,5.602699127E0,2.093546448E0
7.212272083E-1,3.745361481E0,9.341923370E0,9.641450500E-1
7.412682083E-1,5.446124725E0,8.561745758E0,-9.460327148E-2
7.613102083E-1,4.985382843E0,8.002957764E0,1.103205872E0
7.813512083E-1,5.132377167E0,7.685318298E0,6.062393188E-2
8.013932083E-1,3.527564392E0,9.017398224E0,4.561015320E-1
8.214342083E-1,5.804030457E0,7.868986359E0,7.646099854E-1
8.414762083E-1,4.324357452E0,7.003935242E0,1.142274628E0
8.615172083E-1,5.101391602E0,6.206693115E0,-5.224136353E-1
8.815592083E-1,2.866539001E0,5.347030792E0,5.900729370E-1
9.016002083E-1,1.672921143E0,6.092480621E0,-1.043031006E0
9.216422083E-1,-2.585872650E0,5.667514343E0,7.241042175E0
9.416832083E-1,-1.784738617E0,5.511239319E0,7.945477295E-1
9.617252083E-1,-8.062234497E-1,7.128775635E0,-1.616638184E-2
9.817662083E-1,2.810555420E0,2.147135010E1,4.195774841E-1
1.001808208E0,3.787124634E0,2.676808548E1,-2.286794586E0
1.021849208E0,-1.891167297E0,1.180310532E1,-3.962260437E-1
1.041891208E0,-5.363197174E0,5.329966278E0,1.741927643E0
1.061933208E0,-3.876488800E0,6.896009674E0,-7.020401001E-1
1.081974208E0,-1.573378143E0,1.109822113E1,-2.793191528E-1
1.102016208E0,-1.872456207E0,1.049108368E1,1.260079651E0
1.122057208E0,-6.303392029E-1,9.367520142E0,5.212161255E-1
1.142099208E0,-9.741741943E-1,9.656269684E0,7.682025146E-1
1.162140208E0,-1.143322449E0,9.828860779E0,4.288581848E-1
1.182182208E0,-1.155147858E0,9.685009918E0,3.646417236E-1
1.202223208E0,-1.093625793E0,9.708960114E0,5.760021973E-1
1.222265208E0,-1.087488556E0,9.750872955E0,6.966513062E-1
1.242306208E0,-1.078207855E0,9.766290894E0,5.658233643E-1
1.262348208E0,-9.710307312E-1,9.760602722E0,5.014572144E-1
1.282389208E0,-8.863069153E-1,9.694589996E0,5.553451538E-1
1.302431208E0,-7.969427490E-1,9.841434631E0,5.724096680E-1
1.322472208E0,-7.541317749E-1,9.867480469E0,5.572911072E-1
1.342514208E0,-6.710545349E-1,9.739795990E0,4.462220764E-1
1.362555208E0,-5.948629761E-1,9.693392487E0,4.320016479E-1
1.382597208E0,-4.625381470E-1,9.777966614E0,4.531077576E-1
1.402638208E0,-4.602928162E-1,9.659862213E0,4.082011414E-1
1.422680208E0,-4.246669006E-1,9.668693848E0,3.918850708E-1
1.442721208E0,-4.153862000E-1,9.758806458E0,3.288661194E-1
1.462763208E0,-4.478686523E-1,9.801916809E0,2.390528870E-1
1.482804208E0,-4.746629333E-1,9.722432098E0,1.209484863E-1
1.502846208E0,-4.531077576E-1,9.598938904E0,1.508862305E-1
1.522887208E0,-4.987628174E-1,9.625134430E0,1.697470093E-1
1.542929208E0,-5.577401733E-1,9.773176575E0,1.193019104E-1
1.562970208E0,-7.825726318E-1,9.820178833E0,9.999206543E-2
1.583012208E0,-8.683442688E-1,9.796228638E0,2.739303589E-2
1.603052833E0,-9.404942322E-1,9.817634125E0,-7.828720093E-2
1.623094833E0,-9.665400696E-1,9.762548676E0,-2.043251038E-1
1.643135833E0,-9.469308472E-1,9.772577820E0,-3.037184143E-1
1.663177833E0,-1.007405090E0,9.808353424E0,-3.206332397E-1
1.683218833E0,-9.394464111E-1,9.713899841E0,-2.745291138E-1
1.703260833E0,-8.297245789E-1,9.761650543E0,-2.948867798E-1
1.723301833E0,-8.913963318E-1,9.744136963E0,-2.140548706E-1
1.743343833E0,-9.683363342E-1,9.734706573E0,-2.900967407E-1
1.763384833E0,-1.090332642E0,9.733209686E0,-1.336720276E-1
1.783426833E0,-1.050964508E0,9.787397003E0,-1.923500061E-1
1.803467833E0,-1.022972717E0,9.730215912E0,-2.173480225E-1
1.823509833E0,-9.645941162E-1,9.694440308E0,-1.960922241E-1
1.843550833E0,-9.087602234E-1,9.651779022E0,-1.758842468E-1
1.863592833E0,-9.219328308E-1,9.726324005E0,-1.052311707E-1
1.883633833E0,-9.196875000E-1,9.782457275E0,-9.924362183E-2
1.903675833E0,-9.544152832E-1,9.715696106E0,-1.838177490E-1
1.923716833E0,-1.039288788E0,9.759105835E0,-5.673202515E-2
1.943758833E0,-1.105002136E0,9.765243073E0,-1.570234680E-1
1.963799833E0,-1.195414124E0,9.683513031E0,-1.133143616E-1
1.983841833E0,-1.067579956E0,9.683363342E0,-3.338058472E-2
2.003882833E0,-1.019529877E0,9.655670929E0,-1.344204712E-1
2.023924833E0,-1.118174744E0,9.641151123E0,-1.240919495E-1
2.043965833E0,-1.270108795E0,9.659562836E0,-1.234931946E-1
2.064007833E0,-1.436712341E0,9.750723267E0,-4.288581848E-1
2.084048833E0,-1.491498413E0,9.865384827E0,-7.804769897E-1
2.104090833E0,-1.609902191E0,9.859397278E0,-6.225553894E-1
2.124131833E0,-1.413809967E0,9.612410889E0,-5.381309509E-1
2.144173833E0,-1.097517700E0,9.561516724E0,-5.855822754E-1
2.164214833E0,-1.062490540E0,9.648485870E0,-5.688171387E-1
2.184256833E0,-1.175056458E0,9.709109802E0,-4.824467468E-1
2.204297833E0,-1.199156342E0,9.715247040E0,-7.426057434E-1
2.224339833E0,-1.232836304E0,9.698481903E0,-6.590794373E-1
2.244380833E0,-1.307231598E0,9.703122253E0,-7.032376099E-1
2.264422833E0,-1.348695374E0,9.841734009E0,-7.677534485E-1
2.284463833E0,-1.432221680E0,9.872719574E0,-8.180488586E-1
2.304505833E0,-1.282383270E0,9.845326538E0,-9.340576172E-1
2.324546833E0,-1.277293854E0,9.707912292E0,-8.361611938E-1
2.344588833E0,-1.225202179E0,9.757608948E0,-6.623725891E-1
2.364629833E0,-1.241967316E0,9.697284393E0,-6.508465576E-1
2.384671833E0,-1.215322723E0,9.642198944E0,-6.147715759E-1
2.404712833E0,-1.197809143E0,9.623936920E0,-5.936654663E-1
2.424754833E0,-1.215622101E0,9.626930695E0,-5.749543762E-1
2.444795833E0,-1.192270660E0,9.630223846E0,-4.939727783E-1
2.464837833E0,-1.283131714E0,9.714348907E0,-5.126838684E-1
2.484878833E0,-1.399739227E0,9.817484436E0,-5.108876038E-1
2.504920833E0,-1.384620667E0,9.835896149E0,-5.041516113E-1
2.524961833E0,-1.385219421E0,9.719138947E0,-5.300477600E-1
2.545003833E0,-1.396446075E0,9.620194702E0,-4.569996643E-1
2.565044833E0,-1.336570587E0,9.658365326E0,-3.700305176E-1
2.585087000E0,-1.233285370E0,9.660910034E0,-4.531077576E-1
2.605128000E0,-1.211580505E0,9.656569061E0,-4.185296631E-1
2.625170000E0,-1.204994202E0,9.690099335E0,-4.869374084E-1
2.645211000E0,-1.192270660E0,9.657766571E0,-3.869453430E-1
2.665253000E0,-1.339264984E0,9.577383728E0,-5.586383057E-1
2.685294000E0,-1.263372803E0,9.718390503E0,-5.553451538E-1
2.705336000E0,-1.323397980E0,9.678573303E0,-5.634283447E-1
2.725377000E0,-1.309027863E0,9.686357117E0,-4.891827393E-1
2.745419000E0,-1.354084167E0,9.749525757E0,-5.188211060E-1
2.765460000E0,-1.428030396E0,9.704768829E0,-4.728666687E-1
2.785502000E0,-1.360520782E0,9.652228088E0,-4.306544495E-1
2.805543000E0,-1.400188293E0,9.644893341E0,-4.809498596E-1
2.825585000E0,-1.344803467E0,9.678423615E0,-4.505630493E-1
2.845626000E0,-1.373094635E0,9.707912292E0,-4.787045288E-1
2.865668000E0,-1.332678680E0,9.736053772E0,-4.794529724E-1
2.885709000E0,-1.331481171E0,9.716294861E0,-5.581892395E-1
2.905751000E0,-1.227148132E0,9.696685638E0,-5.822891235E-1
2.925792000E0,-1.211730194E0,9.636361084E0,-4.770579529E-1
2.945834000E0,-1.176253967E0,9.667196960E0,-3.797602844E-1
2.965875000E0,-1.214424591E0,9.635013885E0,-4.891827393E-1
2.985917000E0,-1.314266968E0,9.691895599E0,-4.297563171E-1
3.005958000E0,-1.369502106E0,9.744885406E0,-5.354365540E-1
3.026000000E0,-1.340612183E0,9.583820343E0,-5.267546082E-1
3.046041000E0,-1.315913544E0,9.489815826E0,-3.460803223E-1
3.066083000E0,-1.330283661E0,9.613159332E0,-2.496807861E-1
3.086124000E0,-1.243613892E0,9.779463501E0,-3.549119568E-1
3.106166000E0,-1.159788208E0,9.841434631E0,-5.189707947E-1
3.126207000E0,-1.091679840E0,9.776918793E0,-5.321434021E-1
3.146249000E0,-1.266516266E0,9.632768555E0,-5.794450378E-1
3.166290000E0,-1.282233582E0,9.592801666E0,-4.314028931E-1
3.186332000E0,-1.306183777E0,9.721833344E0,-4.022135925E-1
3.206373000E0,-1.408570862E0,9.670939178E0,-5.351371765E-1
3.226415000E0,-1.426234131E0,9.661209412E0,-4.773573303E-1
3.246456000E0,-1.498384094E0,9.721084900E0,-5.510041809E-1
3.266498000E0,-1.562450867E0,9.623038788E0,-5.647755432E-1
3.286539000E0,-1.495240631E0,9.645492096E0,-4.830455017E-1
3.306581000E0,-1.441652069E0,9.693691864E0,-4.568499756E-1
3.326622000E0,-1.571731567E0,9.731263733E0,-5.044509888E-1
3.346664000E0,-1.515897675E0,9.617500305E0,-5.623805237E-1
3.366705000E0,-1.608105927E0,9.623787231E0,-5.620811462E-1
3.386747000E0,-1.810634766E0,9.666598206E0,-6.499484253E-1
3.406788000E0,-1.885628815E0,9.652228088E0,-5.894741821E-1
3.426830000E0,-1.998045044E0,9.586065674E0,-4.623884583E-1
3.446871000E0,-2.002984772E0,9.574988708E0,-5.842350769E-1
3.466912000E0,-1.858385468E0,9.611213379E0,-5.057981873E-1
3.486954000E0,-1.755848694E0,9.585915985E0,-4.960684204E-1
3.506995000E0,-1.737137604E0,9.627978516E0,-5.324427795E-1
3.527037000E0,-1.763931885E0,9.604477386E0,-5.177732849E-1
3.547078000E0,-1.815873871E0,9.608518982E0,-5.179229736E-1
3.567120000E0,-1.736688538E0,9.616003418E0,-4.986131287E-1
3.587163625E0,-1.734443207E0,9.574839020E0,-4.321513367E-1
3.607205625E0,-1.789528656E0,9.539811859E0,-5.390290833E-1
3.627246625E0,-1.852697296E0,9.580676880E0,-4.577481079E-1
3.647288625E0,-1.849254456E0,9.684111786E0,-4.125421143E-1
3.667329625E0,-1.870061188E0,9.603728943E0,-4.658312988E-1
3.687371625E0,-1.840273132E0,9.589658203E0,-4.423301697E-1
3.707412625E0,-1.788331146E0,9.601932678E0,-5.032534790E-1
3.727454625E0,-1.917811890E0,9.614207153E0,-4.730163574E-1
