"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.313050000E-2,7.274711132E-2,7.533394545E-2,2.457514405E-2
4.317249999E-2,8.991233259E-2,6.688281149E-2,3.533699736E-2
6.321450000E-2,5.053701624E-2,1.956962794E-2,3.184100240E-2
8.325649999E-2,-1.638615690E-2,-4.545240663E-3,1.150534255E-3
1.032985000E-1,-6.654725969E-2,-1.195930317E-2,-2.870631963E-2
1.233405000E-1,-5.210913345E-2,-1.927665807E-2,-1.602334902E-2
1.433825000E-1,-3.257089294E-3,-4.052534699E-2,-5.708639510E-3
1.634245000E-1,-1.161720790E-2,-4.122906178E-2,-2.398137469E-3
1.834665000E-1,-2.229482308E-2,-4.785958305E-2,4.737514537E-4
2.035085000E-1,8.472861722E-3,-4.263939708E-2,2.003012598E-2
2.235505000E-1,3.525193781E-2,-2.886728942E-2,1.583731174E-2
2.435925000E-1,4.049776495E-2,-1.233884040E-2,1.632811129E-2
2.636345000E-1,6.997402757E-2,1.451473683E-2,1.062393095E-2
2.836765000E-1,6.008331105E-2,2.638446167E-2,7.590766996E-3
3.037185000E-1,4.858667031E-2,3.075733781E-2,-1.372040622E-2
3.237615000E-1,-1.372531615E-2,-1.761933602E-2,-8.487245999E-3
3.438035000E-1,-8.500196785E-2,-9.815374762E-2,-8.555889130E-3
3.638455000E-1,-8.164429665E-2,-1.020092666E-1,-1.319227973E-3
3.838875000E-1,-3.771141171E-2,-9.303599596E-2,-1.627488434E-2
4.039295000E-1,9.936328046E-3,-3.395992517E-2,-5.795564130E-2
4.239715000E-1,-1.887375955E-3,-7.006432861E-2,-6.006728485E-2
4.440135000E-1,-7.967114449E-3,-8.514923602E-2,-5.466683954E-2
4.640555000E-1,-1.100190450E-2,-1.604785323E-1,-8.909800649E-2
4.840975000E-1,-1.081362516E-1,-3.692271411E-1,-6.664473563E-2
5.041395000E-1,-7.102417946E-2,-3.518471718E-1,-2.162795141E-2
5.241815000E-1,4.739255086E-2,-3.723051250E-1,-3.994559124E-2
