Time (s),Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,activity_label
4.988612833,-0.3888912964,10.06671616,-0.4986131287,-0.0161085818,-0.4108942449,0.002399374032,1
5.008654833,-0.5950126648,9.896969147,-0.1703457642,0.001362688141,-0.382770896,0.0821505487,1
5.028695833,-0.06556365967,9.950857086,0.4891827393,-0.002449628664,-0.1521150768,0.1496158689,1
5.048736833,0.396076355,9.923314362,-0.1691482544,0.03263798729,-0.3421204984,0.1758789867,1
5.068778833,0.2167492676,9.835297394,-0.6264472961,0.1185311899,-0.489838928,0.2094753534,1
5.088819833,-0.2591111755,9.61929657,-0.5548960876,0.1740019619,-0.2764119506,0.2279860228,1
5.108860833,-0.2278262329,9.525741119,-0.6489006042,0.2156920284,-0.05481446907,0.1828133911,1
5.128902833,-0.2032772827,9.561516724,-0.8376580811,0.2610154152,0.05010787398,0.1565048695,1
5.148943833,-0.09160949707,9.398954773,-0.6598278809,0.2582567334,0.1682229638,0.1152409315,1
5.168985833,-0.3881428528,9.279652863,-0.4793032837,0.210549593,0.187251091,0.05259152502,1
5.189026833,-0.733175354,9.353599091,0.0137713623,0.1957577318,0.1211507767,-0.02088897489,1
5.209067833,-0.7226971436,9.600286102,0.2404000854,0.1986994594,-0.01914203912,-0.08125466108,1
5.229109833,-0.4824467468,9.535171509,0.1895059204,0.2386766374,-0.1521444619,-0.05152723193,1
5.249150833,0.1528321838,9.411678314,0.2284249878,0.2816209793,-0.1413707435,-0.03215529397,1
5.269191833,0.5215155029,9.74683136,-0.05957611084,0.2968438268,-0.1506831497,-0.04141977802,1
5.289233833,0.06556365967,9.76434494,-0.1604663086,0.3204399943,-0.1176929623,-0.02501842938,1
5.309274833,-0.2866539001,9.630223846,0.2499801636,0.3890383244,0.0733037591,-0.05527503043,1
5.329315833,-0.4068539429,9.764644318,0.02679428101,0.4045231342,0.006120496895,-0.07251236588,1
5.349357833,-0.5179229736,10.02570145,0.1207987976,0.4886510372,-0.1813376546,-0.07954355329,1
5.369398833,-0.4396357727,9.948013,-0.04805007935,0.5931016803,-0.3718358576,-0.1026963517,1
