"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.074166642E-4,3.537593536E0,8.191116486E0,3.993096313E0
2.074941667E-2,3.396137695E0,8.079299011E0,4.369862823E0
4.079141666E-2,3.311413879E0,8.010591888E0,4.400099945E0
6.083341666E-2,3.447630615E0,7.903115387E0,4.102967834E0
8.087541666E-2,3.560944977E0,7.987839203E0,4.461172943E0
1.009174167E-1,3.532803497E0,8.208480377E0,4.489164734E0
1.209594167E-1,3.466491394E0,8.379275208E0,4.382736053E0
1.410014167E-1,3.460803223E0,8.303383026E0,4.150119781E0
1.610434167E-1,3.451073456E0,8.355025635E0,4.049229584E0
1.810854167E-1,3.438349915E0,8.390052795E0,4.174219666E0
2.011274167E-1,3.385210419E0,8.138126678E0,4.089944916E0
2.211694167E-1,3.428171082E0,8.161178741E0,3.797453156E0
2.412114167E-1,3.321742401E0,7.924520874E0,3.853885803E0
2.612534167E-1,3.309767303E0,7.875123596E0,3.734284515E0
2.812954167E-1,3.514541473E0,7.530989227E0,3.830684052E0
3.013374167E-1,3.529360657E0,7.723937988E0,3.463198242E0
3.213794167E-1,3.567082214E0,7.490722961E0,3.322790222E0
3.414214167E-1,3.782334595E0,7.730973358E0,3.276237030E0
3.614634167E-1,3.667673035E0,7.802973633E0,4.425846405E0
3.815054167E-1,4.375850372E0,8.065827026E0,4.547693024E0
4.015474167E-1,4.221820679E0,8.420439606E0,5.092859344E0
4.215894167E-1,4.463268585E0,8.946445770E0,4.482578430E0
4.416314167E-1,4.302951965E0,8.538244629E0,4.934338989E0
4.616734167E-1,3.937412109E0,8.311166840E0,4.726870422E0
4.817154167E-1,4.088448029E0,7.888445892E0,4.470603333E0
5.017574167E-1,4.529431000E0,7.745942230E0,3.626059570E0
5.217994167E-1,4.349505157E0,7.853568420E0,3.177741852E0
5.418414167E-1,4.733606415E0,8.079448700E0,3.642076263E0
5.618834167E-1,5.406307526E0,6.892267456E0,3.983516235E0
5.819254167E-1,5.133574677E0,7.119195557E0,2.817740479E0
6.019674167E-1,4.185446320E0,7.933352509E0,3.430266724E0
6.220094167E-1,3.699706421E0,8.364905090E0,3.451672211E0
6.420514167E-1,3.680546265E0,8.262218628E0,2.895578613E0
6.620934167E-1,4.094734955E0,7.627837830E0,3.349135437E0
